名字,性别,年龄,birthplace,财富估值(亿人民币),公司名称,公司位置,富豪榜排名,公司类型,财富变化,一级行业
张一鸣,先生,41,中国-福建-龙岩,49300.0,字节跳动,北京,1,社交媒体,43%,科技与互联网
钟睒睒,先生,70,中国-浙江-绍兴,47900.0,养生堂,浙江杭州,2,饮料、医疗保健,-24%,消费品
钟睒睒,先生,70,中国-浙江-绍兴,47900.0,养生堂,浙江杭州,2,饮料、医疗保健,-24%,医疗健康
马化腾,先生,53,中国-海南,44400.0,腾讯,广东深圳,3,互联网服务,13%,科技与互联网
黄峥,先生,44,中国-浙江-杭州,34500.0,拼多多,上海长宁,4,购物网站,-9%,科技与互联网
何享健,先生,82,中国-广东-佛山,33100.0,美的,广东佛山,5,家电制造,18%,制造业
曾毓群,先生,56,中国-福建-宁德,28200.0,宁德时代,福建宁德,6,锂电池,-20%,制造业
丁磊,先生,53,中国-浙江-宁波,28200.0,网易,浙江杭州,6,互联网技术,-17%,科技与互联网
李嘉诚、李泽钜,先生,96,中国-香港,28200.0,长江实业,香港,6,投资,-5%,金融与投资
李兆基,先生,96,中国-广东-佛山,24600.0,恒基兆业,香港,9,房地产,9%,房地产与建筑
马云,先生,60,中国-浙江-杭州,23200.0,阿里系,浙江杭州,10,电子商务、金融科技,-3%,科技与互联网
马云,先生,60,中国-浙江-杭州,23200.0,阿里系,浙江杭州,10,电子商务、金融科技,-3%,金融与投资
李书福,先生,61,中国-浙江-台州,20400.0,吉利,浙江杭州,11,汽车制造,-17%,制造业
严昊,先生,38,中国-江苏-淮安,20400.0,太平洋建设,新疆乌鲁木齐,11,基础建设,-3%,房地产与建筑
张刚,先生,43,中国-山东-聊城,20400.0,信发铝电,山东聊城,11,电解铝、氧化铝,7%,能源与化工
李蔡美灵,先生,未知,中国-香港,19700.0,李锦记,香港,14,调味品,0%,农业与食品
吕向阳、张长虹,先生,61,中国-安徽-芜湖,19700.0,融捷,广东广州,14,投资,0%,金融与投资
秦英林、钱瑛,先生,59,中国-河南-南阳,19000.0,牧原,河南南阳,16,畜牧,-7%,农业与食品
王传福,先生,58,中国-安徽-芜湖,19000.0,比亚迪,广东深圳,16,汽车、充电电池,0%,能源与化工
王传福,先生,58,中国-安徽-芜湖,19000.0,比亚迪,广东深圳,16,汽车、充电电池,0%,制造业
赵长鹏,先生,47,中国-江苏-连云港,19000.0,币安,美国,16,虚拟货币交易所,200%,科技与互联网
雷军,先生,55,中国-湖北-仙桃,18300.0,小米,北京,19,智能硬件与技术、投资,38%,科技与互联网
雷军,先生,55,中国-湖北-仙桃,18300.0,小米,北京,19,智能硬件与技术、投资,38%,金融与投资
陈建华、范红卫,先生,53,中国-江苏-苏州,17600.0,恒力,江苏苏州,20,化纤、石化、房地产,0%,房地产与建筑
陈建华、范红卫,先生,53,中国-江苏-苏州,17600.0,恒力,江苏苏州,20,化纤、石化、房地产,0%,能源与化工
张志东,先生,52,中国-广东-东莞,17600.0,腾讯,广东深圳,20,互联网服务,14%,科技与互联网
刘永行、刘相宇,先生,76,中国-四川-成都,16900.0,东方希望,上海浦东,22,氧化铝、重化工、饲料,-8%,农业与食品
刘永行、刘相宇,先生,76,中国-四川-成都,16900.0,东方希望,上海浦东,22,氧化铝、重化工、饲料,-8%,能源与化工
王卫,先生,54,中国-上海,15500.0,顺丰,广东深圳,23,快递,-12%,物流与交通
魏建军、韩雪娟,先生,60,中国-河北-保定,15500.0,长城,河北保定,23,汽车制造,-8%,制造业
郑淑良,先生,78,中国-山东,15500.0,魏桥创业,山东滨州,23,铝业、纺织,31%,能源与化工
郑淑良,先生,78,中国-山东,15500.0,魏桥创业,山东滨州,23,铝业、纺织,31%,消费品
李西廷,先生,73,中国-安徽-宿州,14100.0,迈瑞,广东深圳,26,医疗器械,0%,制造业
党彦宝,先生,51,,13400.0,宝丰,宁夏银川,27,煤化工,0%,能源与化工
徐航,先生,62,中国-广东-广州,13400.0,迈瑞、鹏瑞,广东深圳,27,医疗器械、房地产,-5%,房地产与建筑
徐航,先生,62,中国-广东-广州,13400.0,迈瑞、鹏瑞,广东深圳,27,医疗器械、房地产,-5%,制造业
郑家纯,先生,76,中国-香港,13400.0,周大福,香港,27,珠宝,-27%,消费品
郭台铭,先生,74,中国-台湾-新北,13100.0,鸿海,台湾台北,30,电子制造,55%,制造业
吴光正,先生,78,中国-上海,13100.0,会德丰,香港,30,房地产,-7%,房地产与建筑
刘銮雄,先生,73,中国-香港,12800.0,华人置业,香港,32,房地产,-1%,房地产与建筑
